Employee_ID,Age,Gender,Education,Department,Experience,City,Company_Size,Job_Role,Performance_Rating,Overtime,Remote_Work,Working_Hours,Projects,Certification,Leadership_Score,Skill_Score,Annual_Salary
71,33,Female,Master,Finance,6,Pune,Small,Manager,2,No,Yes,52,10,No,48.0,66.0,1244478
72,21,Female,Master,Finance,19,Mumbai,Medium,Manager,5,Yes,No,37,9,Yes,68.0,67.0,1939797
73,52,Female,Bachelor,Finance,16,Nashik,Large,Manager,1,Yes,Yes,47,5,Yes,,64.0,1695205
74,55,Female,Diploma,Sales,15,Pune,Large,Tester,5,No,No,53,4,Yes,65.0,93.0,1596592
75,23,Female,Diploma,HR,17,Nagpur,Large,Analyst,1,No,No,50,7,No,78.0,86.0,1556444
76,28,Female,Master,Sales,10,Nashik,Medium,Tester,2,No,No,40,8,No,45.0,51.0,1530297
77,48,Male,Diploma,HR,20,Nashik,Small,Analyst,2,Yes,Yes,39,9,No,65.0,47.0,1425588
78,40,Female,Bachelor,IT,3,Pune,Medium,Analyst,1,No,Yes,47,3,No,62.0,66.0,894939
79,50,Male,Diploma,Finance,5,,Small,Manager,3,Yes,No,52,5,Yes,98.0,57.0,859381
80,52,Female,Diploma,Sales,0,Nagpur,Medium,Manager,1,Yes,Yes,49,1,No,47.0,93.0,869016
81,33,Male,Bachelor,IT,10,Nagpur,Medium,Developer,2,Yes,Yes,35,2,Yes,92.0,60.0,1430282
82,26,Female,Master,IT,8,Pune,Small,Tester,1,Yes,No,51,5,No,50.0,74.0,1320999
83,30,Female,Bachelor,Marketing,4,Nagpur,Medium,Developer,3,Yes,Yes,44,3,Yes,82.0,77.0,1248691
84,33,Male,Bachelor,HR,16,Pune,Small,Developer,1,Yes,Yes,38,1,No,,60.0,1563084
85,23,Female,Bachelor,Finance,16,Mumbai,Small,Manager,2,No,No,52,1,Yes,68.0,79.0,1697386
86,37,Male,Master,Finance,11,Pune,Medium,Developer,3,Yes,Yes,50,7,No,86.0,,1658791
87,58,Male,Diploma,IT,14,Pune,Medium,Manager,5,No,Yes,36,6,No,43.0,76.0,1391306
88,35,Female,Master,Sales,17,Nashik,Large,Tester,2,No,Yes,53,2,Yes,59.0,73.0,1895384
89,25,Female,Bachelor,Marketing,19,Nashik,Small,Developer,1,Yes,Yes,38,10,No,59.0,96.0,1931023
90,54,Male,Master,HR,16,Nagpur,Large,Tester,1,No,Yes,40,5,No,98.0,49.0,1749456
91,43,Female,Master,IT,1,Nagpur,Medium,Tester,3,No,No,57,6,Yes,72.0,52.0,996167
92,45,Female,Diploma,Sales,15,Nagpur,Medium,Tester,4,Yes,No,37,3,Yes,33.0,47.0,1351475
93,41,Female,Bachelor,Finance,17,Mumbai,Medium,Developer,2,No,No,40,1,Yes,80.0,100.0,1764760
94,54,Female,Diploma,Marketing,4,Nagpur,Large,Tester,4,Yes,Yes,51,10,No,75.0,80.0,957777
95,50,Male,Master,Finance,12,Nagpur,Large,Tester,1,Yes,Yes,45,1,Yes,55.0,66.0,1567667
96,35,Male,Master,Finance,3,Mumbai,Large,Tester,1,Yes,Yes,49,8,Yes,81.0,40.0,1107870
97,43,Male,Bachelor,HR,13,Nagpur,Large,Manager,4,No,No,48,2,No,31.0,,1544612
98,45,Male,Bachelor,Sales,5,Pune,Medium,Analyst,3,Yes,Yes,57,5,No,44.0,74.0,1022965
99,45,Female,Bachelor,Marketing,9,Nashik,Small,Manager,1,No,No,51,4,Yes,46.0,78.0,1209274
100,56,Female,Bachelor,Finance,3,Nashik,Large,Tester,3,No,No,49,6,Yes,,49.0,819976
101,46,Male,Master,Marketing,1,,Small,Tester,1,Yes,No,36,8,No,71.0,86.0,1010450
102,42,Female,Master,Sales,12,Pune,Medium,Developer,5,Yes,No,55,6,Yes,62.0,45.0,1462376
103,29,Male,Bachelor,Marketing,5,Nagpur,Small,Analyst,4,No,Yes,57,3,Yes,91.0,94.0,1216213
104,44,Female,Bachelor,Finance,18,Nagpur,Large,Developer,5,No,No,40,2,No,65.0,70.0,1783886
105,22,Female,Master,Marketing,19,,Large,Developer,3,Yes,No,49,8,Yes,33.0,67.0,2051113
106,26,Male,Master,Sales,18,Mumbai,Large,Developer,4,No,Yes,60,6,No,34.0,84.0,1951039
107,46,Male,Diploma,Finance,3,Mumbai,Medium,Manager,4,No,No,48,6,Yes,49.0,,788810
108,53,Female,Diploma,Marketing,4,Pune,Small,Analyst,4,Yes,No,40,2,Yes,32.0,50.0,793462
109,40,Male,Bachelor,HR,9,Nagpur,Large,Manager,2,No,No,35,5,Yes,73.0,44.0,1245629
110,44,Female,Bachelor,Marketing,8,Pune,Small,Tester,1,No,No,40,7,No,44.0,56.0,1038990
111,29,Female,Master,Sales,2,Nashik,Small,Tester,1,No,Yes,36,3,Yes,98.0,69.0,1132691
112,49,Female,Bachelor,Marketing,2,Nashik,Large,Manager,4,Yes,No,42,9,No,93.0,40.0,871181
113,39,Male,Diploma,Marketing,4,Nagpur,Medium,Analyst,4,No,Yes,48,10,Yes,59.0,53.0,835105
114,45,Female,Master,HR,3,Mumbai,Large,Developer,5,No,No,52,8,Yes,71.0,64.0,1249196
115,53,Female,Master,HR,7,Mumbai,Medium,Manager,3,No,Yes,59,1,Yes,67.0,78.0,1216391
116,59,Female,Diploma,Marketing,0,Nashik,Small,Manager,2,No,No,53,6,No,82.0,86.0,897864
117,49,Female,Diploma,IT,5,Pune,Small,Tester,3,No,Yes,35,4,No,71.0,42.0,891579
118,58,Female,Diploma,Marketing,6,Mumbai,Medium,Manager,4,No,No,59,1,No,58.0,66.0,987776
119,30,Male,Diploma,Sales,4,Mumbai,Large,Manager,1,Yes,Yes,35,6,No,97.0,66.0,1010281
120,35,Female,Master,Sales,5,Mumbai,Small,Developer,4,Yes,No,42,5,No,81.0,52.0,1281662
121,56,Male,Diploma,HR,14,Pune,Medium,Tester,4,No,No,38,10,Yes,74.0,43.0,1422568
122,31,Male,Bachelor,Sales,10,Nagpur,Medium,Developer,5,No,Yes,44,8,No,49.0,66.0,1495951
123,38,Male,Bachelor,Finance,5,Mumbai,Large,Manager,2,No,Yes,59,1,No,75.0,45.0,1063453
124,32,Male,Bachelor,IT,14,Nagpur,Small,Analyst,4,Yes,Yes,46,4,No,72.0,79.0,1661012
125,48,Male,Diploma,Marketing,15,Pune,Small,Analyst,5,Yes,Yes,60,9,No,66.0,43.0,1357762
126,43,Male,Diploma,Finance,18,Pune,Small,Manager,1,Yes,Yes,35,5,Yes,40.0,68.0,1549717
127,35,Male,Diploma,Finance,20,Pune,Large,Manager,4,Yes,Yes,55,9,No,83.0,65.0,1716625
128,46,Male,Diploma,Sales,20,Mumbai,Large,Developer,2,No,No,43,3,No,81.0,48.0,1699650
129,54,Male,Master,Sales,19,Pune,Large,Developer,2,No,No,51,3,Yes,67.0,64.0,1813303
130,49,Female,Diploma,Sales,6,Nagpur,Large,Developer,5,No,No,45,6,Yes,,91.0,1053393
131,40,Female,Diploma,Marketing,17,Pune,Small,Analyst,1,No,No,56,6,No,100.0,60.0,1517037
132,50,Female,Master,Sales,7,Nagpur,Small,Developer,1,Yes,No,57,3,No,42.0,88.0,1379355
133,39,Female,Diploma,Finance,18,Nagpur,Medium,Tester,5,Yes,No,52,1,No,78.0,71.0,1698379
134,48,Female,Bachelor,Finance,13,Pune,Large,Tester,2,Yes,Yes,51,2,Yes,95.0,90.0,1569026
135,23,Female,Diploma,IT,5,Nashik,Small,Developer,4,No,Yes,44,10,No,30.0,,979582
136,48,Female,Bachelor,IT,18,Nashik,Large,Manager,2,No,Yes,52,7,Yes,84.0,85.0,1808278
137,28,Female,Diploma,HR,7,Mumbai,Medium,Manager,1,Yes,No,56,9,Yes,96.0,40.0,991733
138,53,Male,Bachelor,Marketing,14,Nashik,Small,Analyst,3,No,No,49,8,No,80.0,76.0,1523675
139,41,Male,Bachelor,HR,1,Pune,Large,Tester,3,Yes,Yes,48,7,Yes,45.0,74.0,1035211
140,53,Male,Diploma,Sales,15,Nagpur,Medium,Manager,2,Yes,No,57,5,No,36.0,57.0,1261432
141,22,Female,Master,Marketing,18,Mumbai,Small,Analyst,5,Yes,Yes,35,5,Yes,48.0,87.0,1886417
142,23,Female,Bachelor,Sales,19,Nagpur,Large,Tester,2,No,No,57,7,Yes,31.0,50.0,1797674
143,54,Male,Master,Finance,11,Nagpur,Small,Manager,5,No,No,55,3,Yes,,59.0,1684735
144,37,Female,Diploma,Marketing,19,Mumbai,Small,Analyst,4,No,Yes,44,8,Yes,53.0,97.0,1613909
145,45,Female,Bachelor,Finance,13,Mumbai,Small,Tester,1,No,Yes,41,9,Yes,43.0,62.0,1462079
146,49,Male,Bachelor,Marketing,10,Nashik,Small,Tester,4,Yes,No,47,2,Yes,55.0,85.0,1527069
147,37,Male,Bachelor,Finance,4,Nagpur,Large,Tester,2,No,No,39,9,Yes,71.0,50.0,836132
148,51,Male,Bachelor,Finance,5,Pune,Large,Tester,4,No,Yes,40,8,No,56.0,97.0,1286149
149,22,Male,Diploma,Sales,1,Nagpur,Large,Developer,5,No,No,56,1,No,82.0,51.0,629730
150,49,Female,Diploma,HR,18,Mumbai,Large,Developer,4,Yes,No,55,8,No,55.0,92.0,1618133
151,54,Male,Master,HR,10,Mumbai,Small,Manager,1,Yes,Yes,57,8,Yes,88.0,75.0,1557917
152,40,Male,Master,HR,4,,Medium,Tester,1,No,No,53,3,Yes,65.0,95.0,1117214
153,29,Male,Bachelor,Sales,19,,Large,Manager,1,No,Yes,43,8,No,91.0,82.0,1806090
154,45,Male,Master,Finance,16,Nagpur,Medium,Developer,1,Yes,No,41,3,No,90.0,40.0,1858877
155,37,Male,Diploma,Marketing,2,Nagpur,Medium,Developer,5,No,Yes,44,9,No,73.0,89.0,940877
156,36,Female,Master,Marketing,16,Pune,Small,Tester,4,Yes,No,58,3,Yes,91.0,86.0,1897788
157,46,Male,Master,IT,7,Pune,Large,Tester,5,No,Yes,49,10,No,99.0,70.0,1586887
158,46,Female,Bachelor,Sales,15,Nagpur,Medium,Developer,1,No,Yes,55,6,No,52.0,46.0,1524291
159,43,Female,Diploma,Finance,6,Nashik,Large,Analyst,5,No,Yes,52,4,Yes,36.0,53.0,1001731
160,59,Female,Bachelor,Sales,6,Pune,Large,Developer,2,No,No,51,8,No,88.0,74.0,1170938
161,46,Male,Diploma,Sales,2,Nashik,Small,Manager,4,No,Yes,57,7,Yes,74.0,83.0,930770
162,49,Female,Bachelor,HR,11,,Small,Analyst,1,Yes,No,56,9,Yes,33.0,78.0,1303200
163,22,Male,Master,Finance,12,Pune,Large,Tester,1,Yes,Yes,57,3,Yes,45.0,57.0,1556310
164,33,Male,Master,Sales,9,Mumbai,Medium,Manager,3,Yes,No,52,3,No,42.0,73.0,1429299
165,36,Female,Master,HR,6,Pune,Medium,Tester,4,Yes,No,58,9,No,58.0,85.0,1355616
166,21,Female,Bachelor,Sales,9,Nagpur,Small,Analyst,1,Yes,No,51,3,Yes,34.0,69.0,1319747
167,21,Female,Master,Finance,12,Mumbai,Large,Developer,2,No,Yes,55,9,Yes,97.0,53.0,1620876
168,32,Female,Bachelor,Marketing,14,Pune,Medium,Developer,1,Yes,No,60,5,No,97.0,88.0,1756617
169,54,Female,Diploma,IT,4,Nagpur,Large,Manager,4,Yes,No,59,7,Yes,99.0,82.0,1113023
170,49,Male,Bachelor,IT,19,Nashik,Small,Manager,3,Yes,Yes,56,5,Yes,49.0,43.0,1702109
171,23,Female,Bachelor,HR,18,Nagpur,Medium,Developer,2,Yes,Yes,58,6,No,86.0,84.0,1775148
172,55,Male,Diploma,Marketing,4,Nagpur,Small,Manager,1,Yes,No,54,10,Yes,38.0,44.0,668561
173,44,Male,Diploma,Sales,16,Nagpur,Small,Developer,3,No,Yes,37,3,Yes,64.0,,1699672
174,34,Male,Master,Finance,5,Nagpur,Small,Manager,5,Yes,No,39,2,Yes,97.0,,1387382
175,45,Male,Master,Marketing,10,Nashik,Small,Developer,3,No,No,39,2,Yes,58.0,80.0,1569869
176,46,Female,Master,Finance,14,Nashik,Large,Developer,3,No,Yes,52,6,No,34.0,77.0,1725756
177,49,Male,Diploma,Marketing,4,Nashik,Small,Developer,5,No,No,53,10,Yes,57.0,99.0,803035
178,47,Female,Master,Sales,2,Pune,Small,Developer,2,No,Yes,47,1,No,69.0,95.0,1123882
179,33,Male,Diploma,HR,5,Mumbai,Medium,Manager,3,No,No,45,9,No,69.0,63.0,894471
180,47,Male,Diploma,Finance,20,Nashik,Small,Manager,4,No,Yes,40,7,No,92.0,81.0,1794068
181,30,Female,Bachelor,Sales,4,Nagpur,Medium,Analyst,5,No,No,45,5,No,87.0,82.0,1291716
182,34,Female,Master,IT,6,Nagpur,Small,Tester,2,Yes,No,47,7,No,31.0,70.0,1228919
183,51,Male,Diploma,Finance,1,Nashik,Medium,Tester,5,No,Yes,36,8,No,75.0,71.0,898702
184,27,Female,Bachelor,IT,12,Nashik,Large,Tester,3,No,Yes,44,9,Yes,59.0,74.0,1323096
185,47,Female,Master,Finance,1,Pune,Small,Analyst,4,No,Yes,51,6,Yes,66.0,67.0,1051285
186,46,Male,Diploma,Finance,16,Nashik,Medium,Developer,1,Yes,No,58,2,No,,49.0,1368027
187,32,Female,Bachelor,IT,17,Pune,Large,Manager,5,No,No,41,1,No,65.0,53.0,1797793
188,43,Male,Diploma,IT,5,Pune,Medium,Tester,3,Yes,No,60,2,No,87.0,86.0,1202533
189,59,Female,Master,HR,13,Nashik,Large,Tester,5,Yes,Yes,49,7,Yes,33.0,73.0,1575658
190,34,Female,Diploma,HR,10,Nagpur,Small,Manager,2,No,Yes,54,6,No,76.0,91.0,1112095
191,36,Male,Bachelor,HR,10,,Large,Analyst,3,Yes,Yes,39,4,Yes,85.0,66.0,1433516
192,23,Female,Diploma,IT,5,Nashik,Large,Manager,1,No,Yes,35,10,Yes,98.0,58.0,901065
193,44,Female,Diploma,Sales,5,Nagpur,Large,Tester,2,No,Yes,46,2,Yes,90.0,54.0,939301
194,45,Male,Bachelor,Sales,14,Nagpur,Large,Manager,3,Yes,Yes,51,5,Yes,89.0,83.0,1632463
195,49,Male,Bachelor,IT,7,Pune,Medium,Analyst,3,Yes,No,46,5,Yes,75.0,,1138883
196,37,Female,Bachelor,IT,2,Nashik,Small,Manager,1,Yes,No,46,4,Yes,100.0,59.0,917864
197,22,Male,Master,Marketing,3,Pune,Small,Manager,1,Yes,Yes,58,8,Yes,89.0,48.0,1065748
198,38,Female,Diploma,HR,10,Nagpur,Large,Developer,1,No,No,52,6,No,50.0,52.0,1008515
199,37,Male,Bachelor,Sales,10,Nashik,Medium,Developer,1,Yes,Yes,46,9,No,62.0,84.0,1434187
200,53,Female,Bachelor,Sales,13,Pune,Medium,Analyst,4,No,No,44,8,No,49.0,71.0,1595181
201,50,Male,Bachelor,Finance,17,Mumbai,Medium,Analyst,1,No,Yes,35,4,No,31.0,99.0,1804351
202,35,Male,Bachelor,HR,6,,Small,Manager,2,No,No,36,10,Yes,75.0,41.0,1043826
203,28,Female,Diploma,Marketing,11,Nashik,Small,Analyst,3,No,No,42,2,No,90.0,88.0,1521958
204,31,Female,Bachelor,IT,19,Mumbai,Medium,Tester,3,Yes,Yes,54,4,No,36.0,86.0,1866634
205,32,Male,Diploma,Finance,5,Nagpur,Large,Tester,2,No,Yes,57,9,Yes,32.0,97.0,1130851
206,56,Male,Bachelor,Finance,12,Nashik,Medium,Manager,2,Yes,No,47,8,Yes,48.0,90.0,1455176
207,42,Male,Master,Finance,20,Nashik,Small,Tester,3,No,No,39,8,Yes,73.0,,2263703
208,30,Male,Diploma,Sales,8,Nashik,Medium,Manager,3,Yes,Yes,53,3,No,57.0,98.0,1252405
209,44,Male,Master,IT,14,Mumbai,Small,Manager,4,No,No,54,5,Yes,78.0,72.0,1806937
210,44,Male,Master,Finance,3,Nashik,Small,Tester,4,No,No,52,1,No,49.0,67.0,1213275
211,56,Female,Master,Sales,18,Mumbai,Medium,Manager,1,Yes,No,36,2,No,65.0,71.0,1854871
212,32,Male,Master,Marketing,3,Nagpur,Medium,Analyst,2,Yes,No,37,2,Yes,87.0,45.0,1040646
213,43,Female,Master,HR,7,Pune,Small,Developer,1,Yes,Yes,44,2,No,55.0,60.0,1292022
214,34,Female,Bachelor,HR,4,Nagpur,Large,Analyst,5,No,No,58,7,Yes,70.0,44.0,1051853
215,21,Male,Master,Marketing,19,Pune,Large,Manager,1,No,No,42,8,No,57.0,41.0,1844083
216,23,Female,Diploma,Marketing,3,Nashik,Large,Manager,3,No,No,56,10,Yes,39.0,84.0,784838
217,32,Female,Diploma,Marketing,9,Nashik,Small,Manager,1,No,Yes,35,9,No,30.0,51.0,1154180
218,57,Female,Bachelor,Finance,19,Nashik,Medium,Developer,1,No,No,46,5,No,66.0,,1646206
219,40,Female,Diploma,IT,16,Nashik,Large,Developer,4,No,No,52,2,No,85.0,88.0,1731922
220,49,Female,Master,HR,8,Pune,Large,Manager,4,No,Yes,35,7,Yes,55.0,76.0,1475603
221,34,Male,Master,HR,2,Mumbai,Large,Analyst,5,Yes,Yes,46,10,Yes,88.0,,1118290
222,54,Female,Bachelor,Sales,19,Mumbai,Large,Analyst,2,Yes,Yes,59,2,No,72.0,92.0,1726143
223,43,Female,Master,Sales,6,Pune,Medium,Manager,3,No,Yes,47,4,Yes,79.0,70.0,1372729
224,41,Male,Master,Marketing,15,Mumbai,Small,Tester,2,Yes,Yes,35,7,No,,89.0,1604468
225,46,Male,Bachelor,Finance,7,Mumbai,Small,Manager,5,Yes,No,45,10,No,76.0,68.0,1355605
226,28,Female,Bachelor,HR,17,Nagpur,Medium,Analyst,1,Yes,No,49,8,Yes,55.0,57.0,1630154
227,51,Female,Master,Finance,16,Pune,Small,Manager,3,No,Yes,50,5,Yes,75.0,51.0,1770951
228,48,Female,Master,Sales,15,Nashik,Small,Tester,1,Yes,Yes,36,2,Yes,91.0,44.0,1702639
229,31,Female,Bachelor,HR,5,Mumbai,Medium,Tester,1,Yes,No,38,2,No,70.0,48.0,956042
230,26,Female,Bachelor,Marketing,5,Mumbai,Medium,Manager,4,Yes,Yes,36,2,Yes,48.0,85.0,1141385
231,45,Female,Bachelor,HR,12,Nagpur,Large,Manager,3,Yes,No,55,1,No,30.0,80.0,1464639
232,49,Male,Master,HR,11,Pune,Medium,Analyst,5,No,No,59,1,No,48.0,97.0,1627706
233,30,Female,Master,Marketing,16,Pune,Small,Developer,1,No,No,36,9,Yes,64.0,,1891361
234,22,Male,Master,IT,2,Pune,Large,Analyst,2,Yes,No,40,5,No,77.0,60.0,1146285
235,35,Male,Diploma,Marketing,11,Nagpur,Small,Tester,2,Yes,No,45,7,Yes,77.0,44.0,1233305
236,41,Female,Master,Sales,5,,Large,Tester,2,No,Yes,57,7,No,72.0,85.0,1503180
237,35,Male,Bachelor,HR,15,Mumbai,Small,Tester,5,No,Yes,38,5,Yes,44.0,86.0,1718336
238,34,Female,Diploma,IT,12,Nashik,Medium,Analyst,3,Yes,No,38,5,No,63.0,61.0,1273492
239,36,Female,Bachelor,Sales,19,Nagpur,Small,Analyst,3,No,Yes,44,4,Yes,58.0,85.0,1881391
240,46,Female,Master,Marketing,17,Pune,Large,Analyst,1,Yes,Yes,59,7,No,33.0,41.0,1754860
241,56,Female,Bachelor,Marketing,11,Nagpur,Small,Analyst,5,No,No,54,4,Yes,60.0,49.0,1337890
242,33,Male,Bachelor,IT,6,Mumbai,Large,Tester,1,Yes,Yes,57,6,Yes,73.0,93.0,1237082
243,44,Male,Diploma,Marketing,20,,Medium,Developer,4,Yes,Yes,60,9,No,38.0,61.0,1717343
244,47,Male,Bachelor,Marketing,9,Pune,Small,Analyst,1,No,Yes,39,4,No,55.0,47.0,1243354
